,team_name,Section,Year,medal_awarded,award,wiki_link
217,Tsinghua-A,Undergrad,2018,Gold,,http://2018.igem.org/Team:Tsinghua-A
218,TU-Eindhoven,Overgrad,2018,Gold,"Nominated for Best New Basic Part, Overgrad",http://2018.igem.org/Team:TU-Eindhoven
219,TU-Eindhoven,Overgrad,2018,Gold,"Nominated for Best New Composite Part, Overgrad",http://2018.igem.org/Team:TU-Eindhoven
220,TUDelft,Overgrad,2018,Gold,"Best New Application Project, Overgrad",http://2018.igem.org/Team:TUDelft
221,TUDelft,Overgrad,2018,Gold,"Nominated for Best New Application Project, Overgrad",http://2018.igem.org/Team:TUDelft
222,TUDelft,Overgrad,2018,Gold,"Nominated for Best Wiki, Overgrad",http://2018.igem.org/Team:TUDelft
223,TUDelft,Overgrad,2018,Gold,"Nominated for Best Poster, Overgrad",http://2018.igem.org/Team:TUDelft
224,TUDelft,Overgrad,2018,Gold,"Nominated for Best Integrated Human Practices, Overgrad",http://2018.igem.org/Team:TUDelft
225,TUDelft,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:TUDelft
226,TUDelft,Overgrad,2018,Gold,"Nominated for Best Entrepreneurship, Overgrad",http://2018.igem.org/Team:TUDelft
227,TUDelft,Overgrad,2018,Gold,"Best Product Design, Overgrad",http://2018.igem.org/Team:TUDelft
228,TUDelft,Overgrad,2018,Gold,"Nominated for Best Product Design, Overgrad",http://2018.igem.org/Team:TUDelft
229,TUDelft,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:TUDelft
230,UAlberta,Undergrad,2018,Gold,Best Food & Nutrition Project,http://2018.igem.org/Team:UAlberta
231,UAlberta,Undergrad,2018,Gold,Nominated for Best Food & Nutrition Project,http://2018.igem.org/Team:UAlberta
232,UAlberta,Undergrad,2018,Gold,Nominated for Best Integrated Human Practices,http://2018.igem.org/Team:UAlberta
233,UCAS-China,Undergrad,2018,Gold,Best Open Project,http://2018.igem.org/Team:UCAS-China
234,UCAS-China,Undergrad,2018,Gold,Nominated for Best Open Project,http://2018.igem.org/Team:UCAS-China
235,UCopenhagen,Overgrad,2018,Gold,"Nominated for Best Poster, Overgrad",http://2018.igem.org/Team:UCopenhagen
236,UC_Davis,Undergrad,2018,Gold,Nominated for Best Presentation,http://2018.igem.org/Team:UC_Davis
237,UC_Davis,Undergrad,2018,Gold,Best Measurement,http://2018.igem.org/Team:UC_Davis
238,UC_Davis,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:UC_Davis
239,UC_San_Diego,Undergrad,2018,Gold,Best Diagnostics Project,http://2018.igem.org/Team:UC_San_Diego
240,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Diagnostics Project,http://2018.igem.org/Team:UC_San_Diego
241,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Wiki,http://2018.igem.org/Team:UC_San_Diego
242,UC_San_Diego,Undergrad,2018,Gold,Best Poster,http://2018.igem.org/Team:UC_San_Diego
243,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Poster,http://2018.igem.org/Team:UC_San_Diego
244,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Integrated Human Practices,http://2018.igem.org/Team:UC_San_Diego
245,UC_San_Diego,Undergrad,2018,Gold,Best Education & Public Engagement,http://2018.igem.org/Team:UC_San_Diego
246,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Education & Public Engagement,http://2018.igem.org/Team:UC_San_Diego
247,UC_San_Diego,Undergrad,2018,Gold,Best Entrepreneurship,http://2018.igem.org/Team:UC_San_Diego
248,UC_San_Diego,Undergrad,2018,Gold,Nominated for Best Entrepreneurship,http://2018.igem.org/Team:UC_San_Diego
249,UESTC-China,Undergrad,2018,Gold,Best Energy Project,http://2018.igem.org/Team:UESTC-China
250,UESTC-China,Undergrad,2018,Gold,Nominated for Best Energy Project,http://2018.igem.org/Team:UESTC-China
251,UESTC-Software,Undergrad,2018,Gold,Best Software Project,http://2018.igem.org/Team:UESTC-Software
252,UESTC-Software,Undergrad,2018,Gold,Nominated for Best Product Design,http://2018.igem.org/Team:UESTC-Software
253,UiOslo_Norway,Overgrad,2018,Gold,"Best Diagnostics Project, Overgrad",http://2018.igem.org/Team:UiOslo_Norway
254,UiOslo_Norway,Overgrad,2018,Gold,"Nominated for Best Diagnostics Project, Overgrad",http://2018.igem.org/Team:UiOslo_Norway
255,UiOslo_Norway,Overgrad,2018,Gold,"Nominated for Best Presentation, Overgrad",http://2018.igem.org/Team:UiOslo_Norway
256,UI_Indonesia,Undergrad,2018,Gold,,http://2018.igem.org/Team:UI_Indonesia
257,UMaryland,Overgrad,2018,Gold,,http://2018.igem.org/Team:UMaryland
258,Unesp_Brazil,Overgrad,2018,Gold,"Nominated for Best Education & Public Engagement, Overgrad",http://2018.igem.org/Team:Unesp_Brazil
259,Unesp_Brazil,Overgrad,2018,Gold,"Best Hardware, Overgrad",http://2018.igem.org/Team:Unesp_Brazil
260,Unesp_Brazil,Overgrad,2018,Gold,"Nominated for Best Hardware, Overgrad",http://2018.igem.org/Team:Unesp_Brazil
261,Unesp_Brazil,Overgrad,2018,Gold,"Nominated for Best Part Collection, Overgrad",http://2018.igem.org/Team:Unesp_Brazil
262,UNSW_Australia,Undergrad,2018,Gold,Nominated for Best Poster,http://2018.igem.org/Team:UNSW_Australia
263,UNSW_Australia,Undergrad,2018,Gold,Nominated for Best Software Tool,http://2018.igem.org/Team:UNSW_Australia
264,UPF_CRG_Barcelona,Undergrad,2018,Gold,Nominated for Best Therapeutics Project,http://2018.igem.org/Team:UPF_CRG_Barcelona
265,UPF_CRG_Barcelona,Undergrad,2018,Gold,Nominated for Best Model,http://2018.igem.org/Team:UPF_CRG_Barcelona
266,UPF_CRG_Barcelona,Undergrad,2018,Gold,Nominated for Best Measurement,http://2018.igem.org/Team:UPF_CRG_Barcelona
