School,Section,Year,Wiki hyperlink,Award,Outreach Category,Outreach Project,Project Tag,Audience,Goal,Description
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Evaluation from KOLD College,Project Presentation,University Students,"Present iGEM Project, Gain Information for iGEM Project",Presented iGEM project at KOLD college to receive feedback
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Coloplast,"Project Presentation, Consult Experts",Scientific Community,"Gain Information for iGEM Project, Present iGEM Project",Present project to Coloplast and receive feedback.
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Survey,Survey,"iGEM Teams, General Public",Gain Information for iGEM Project,Conducted a survey asking people about their opinion on the use of laboratory animals in scientific research and antibody production
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,Nominated for Best Education and Public Engagement,Education and Public Engagement,Research Day,"Teaching Activity, Community Event",Scientific Community,Educate on Synthetic Biology,Attend research day at SDU and discuss their project and antibiotic resistance.
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,Nominated for Best Education and Public Engagement,Education and Public Engagement,High School Talks,"Teaching Activity, Community Event",Secondary School Students,"Present iGEM Project, Educate on Synthetic Biology, Discuss Ethics and Safety",Present iGEM project at the International Biology Olympiad.
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Education and Public Engagement,Education,"Teaching Activity, Project Presentation",Secondary School Students,"Present iGEM Project, Educate on Synthetic Biology",Gave a presentation and debated the current use and possibilities of synthetic biology with pupils attending the Biotech Summer Camp 
ShanghaitechChina,Undergraduate,2016,http://2016.igem.org/Team:ShanghaitechChina,,Education and Public Engagement,Self-Developed Movie,Educational Material,"General Public, Scientific Community, Secondary School Students, Primary School Students",Promote Awareness of Synthetic Biology,Create a movie to help people understand their project.
ShanghaitechChina,Undergraduate,2016,http://2016.igem.org/Team:ShanghaitechChina,,Education and Public Engagement,ShanghaiTech iGEM Day for Public Interests (iDPI),"Open Lab, Community Event","iGEM Teams, Scientific Community",Promote Awareness of Synthetic Biology,Attend Shanghai Tech iGEM day and participate in the iGEM open house day.
ShanghaitechChina,Undergraduate,2016,http://2016.igem.org/Team:ShanghaitechChina,,Integrated Human Practices,Social Research on the Energy Issue,"Survey, Consult Experts","General Public, Scientific Community, Vendors/Businesses, Legislators",Gain Information for iGEM Project,Conduct public questionnaire about energy resources.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Education and Public Engagement,iGEM Sheffield Edu Day,Community Event,University Students,Promote Awareness of Synthetic Biology,Hold a larger-scale pseudo-iGEM competition for university students. 
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Education and Public Engagement,"Working with Science, Technology, Engineering and Mathematics (STEM) Students","Community Event, Project Presentation",University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology",Run a small-scale iGEM competition for university students.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,Antibiotic Culture,Consult Experts,"Scientific Community, Professors",Gain Information for iGEM Project,Consult Dr. Milton Wainwright about antibiotic resistance.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,Global Policies,Consult Experts,"Scientific Community, Professors",Gain Information for iGEM Project,Consult Dr. Simon Rushton about antibiotic resistance.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,UK Strategies,Consult Experts,Legislators,"Gain Information for iGEM Project, Policy Outreach",Consult AMR rapid diagnostics about antibiotic resistance.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,Hospitals,Consult Experts,"Scientific Community, Specialized Audience",Gain Information for iGEM Project,Interview Dr. Sarah Thompson about prescribing antibiotics.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,Agriculture,Consult Experts,"Scientific Community, Professors",Gain Information for iGEM Project,Interview Andrew Rycroft about antibiotic resistance in veterinary practices.
Sheffield,Undergraduate,2016,http://2016.igem.org/Team:Sheffield,,Integrated Human Practices,Patients,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Attend Research Advisory Panel for Infectious Disease to discuss antibiotic resistance.
Shenzhen SFLS,High School,2016,http://2016.igem.org/Team:Shenzhen%20SFLS,,Education and Public Engagement,Promotion In Book City ,Community Event,General Public,"Promote Awareness of Synthetic Biology, Activism for iGEM Project",Hand out flyers in public to promote hepatitis awareness.
Shenzhen SFLS,High School,2016,http://2016.igem.org/Team:Shenzhen%20SFLS,,Integrated Human Practices,Meetup ,"Conference/Panel Discussion, Project Presentation",iGEM Teams,"Present iGEM Project, Gain Information for iGEM Project",Organize a meetup for high school teams in China and discuss collaboration efforts.
Shenzhen SFLS,High School,2016,http://2016.igem.org/Team:Shenzhen%20SFLS,,Integrated Human Practices,Consulting Doctors,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Interview doctors at Guangdong Defense Hospital about HCV detection tests.
Shenzhen SFLS,High School,2016,http://2016.igem.org/Team:Shenzhen%20SFLS,,Education and Public Engagement,Planting Interest In Youngsters,Project Presentation,Secondary School Students,Present iGEM Project,Hold two presentations at junior highs nearby to discuss the iGEM project.
Shenzhen SFLS,High School,2016,http://2016.igem.org/Team:Shenzhen%20SFLS,,Integrated Human Practices,Questionnaire about HCV Detection ,Survey,General Public,"Gain Information for iGEM Project, Learn Public Opinion",Release an online questionnaire about HCV detection.
Sherbrooke,Overgraduate,2015,http://2015.igem.org/Team:Sherbrooke,,Integrated Human Practices,Complete Platform,Educational Material,"Scientific Community, iGEM Teams",Activism for iGEM Project,Created an open source platform containing affordable hardware/software to increase efficiency and reduce costs in laboratories
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:Shiyan_SY_China,Best Education and Public Engagement,Education and Public Engagement,iGEM Magazine,Educational Material,Secondary School Students,Promote Awareness of Synthetic Biology,Published a special issue of a high school magazine on synthetic biology and iGEM 
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:SJTU-BioX-Shanghai,Best Education and Public Engagement,Education and Public Engagement,Community and Video Promotion,Educational Material,Secondary School Students,"Educate on Synthetic Biology, Recruit iGEM Members ",Surveyed public knowledge and opinion of pesticide use on fruits 
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:Shiyan_SY_China,Best Education and Public Engagement,Education and Public Engagement,Questionnaire,Survey,Vendors/Businesses,Learn Public Opinion,Conducted a survey to determine whether their project would be useful to consumers
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:Shiyan_SY_China,Best Education and Public Engagement,Education and Public Engagement,Questionnaire,Survey,General Public,Learn Public Opinion,Surveyed public opinion of pesticide use and presence of pesticides in agricultural products 
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:Shiyan_SY_China,Best Education and Public Engagement,Education and Public Engagement,T-Shirt Theme Activity,Teaching Activity,"Secondary School Students, Teachers, General Public",Discuss Ethics and Safety,Led a t-shirt painting activity as a way to discuss ethics and safety in synthetic biology
Shiyan_SY_China,High School,2015,http://2015.igem.org/Team:Shiyan_SY_China,Best Education and Public Engagement,Education and Public Engagement,Synthetic Biology Speech,Teaching Activity,Secondary School Students,Educate on Synthetic Biology,Presented on and hosted a discussion about synthetic biology and bioengineering with high school students
SJTU-BioX-Shanghai,Undergraduate,2016,http://2016.igem.org/Team:SJTU-BioX-Shanghai,,Education and Public Engagement,Exhibition at Shanghai Science and Technology Museum,Community Event,"Scientific Community, Secondary School Students","Promote Awareness of Synthetic Biology, Activism for iGEM Project",Attend iGEM meetup and Shanghai Science and Technology Museum.
SJTU-BioX-Shanghai,Undergraduate,2016,http://2016.igem.org/Team:SJTU-BioX-Shanghai,,Integrated Human Practices,Bioethics,Consult Experts,Professors,Discuss Ethics and Safety,Interviewed a professor on their schools committee of Bioethics on the potential ethics problems their project might face
